#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.26 17:00:06.422584,2019.12.26 17:00:06.422584,0,17,0,6,37.46789038,126.47163749,-53,----,1.274755,168.690068,3763,CKK257,61206,22,2872.500000,598.500000,0.250000,-1.250000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:08.323128,2019.12.26 17:00:08.323128,1,17,0,8,37.32119501,126.57902777,975,1247,83.454329,322.546523,2661,THY6442,61208,660,12399.000000,-15676.500000,-50.750000,66.250000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:07.422584,2019.12.26 17:00:07.422584,2,17,0,7,37.46785283,126.47162139,-53,----,1.767767,188.130102,3763,CKK257,61207,22,2871.000000,594.500000,-0.250000,-1.750000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:09.060984,2019.12.26 17:00:09.060984,3,17,0,9,37.32181728,126.57846987,975,----,83.355414,323.783115,2661,THY6442,61209,660,12349.500000,-15607.500000,-49.250000,67.250000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:08.422584,2019.12.26 17:00:08.422584,4,17,0,8,37.46783674,126.47161603,-53,----,1.767767,188.130102,3763,CKK257,61208,22,2870.500000,592.500000,-0.250000,-1.750000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:10.323128,2019.12.26 17:00:10.323128,5,17,0,10,37.32240200,126.57792807,967,1224,83.060972,324.061379,2661,THY6442,61210,660,12301.500000,-15542.500000,-48.750000,67.250000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:09.684728,2019.12.26 17:00:09.684728,6,17,0,9,37.46787965,126.47165358,-53,62,0.559017,116.565051,3763,CKK257,61209,22,2874.000000,597.500000,0.500000,-0.250000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:11.323128,2019.12.26 17:00:11.323128,7,17,0,11,37.32300282,126.57742918,967,1257,82.046100,325.050887,2661,THY6442,61211,660,12257.000000,-15476.500000,-47.000000,67.250000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:10.684728,2019.12.26 17:00:10.684728,8,17,0,10,37.46787965,126.47165895,-53,62,0.559017,116.565051,3763,CKK257,61210,22,2874.500000,597.500000,0.500000,-0.250000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:12.323128,2019.12.26 17:00:12.323128,9,17,0,12,37.32359827,126.57684982,960,1211,82.307351,323.895857,2661,THY6442,61212,660,12205.500000,-15410.000000,-48.500000,66.500000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:11.684728,2019.12.26 17:00:11.684728,10,17,0,11,37.46786356,126.47166967,-53,64,0.901388,123.690068,3763,CKK257,61211,22,2875.500000,596.000000,0.750000,-0.500000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:13.323128,2019.12.26 17:00:13.323128,11,17,0,13,37.32418835,126.57632411,952,1173,82.826626,324.582945,2661,THY6442,61213,660,12158.500000,-15344.500000,-48.000000,67.500000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:12.684728,2019.12.26 17:00:12.684728,12,17,0,12,37.46775627,126.47163749,-53,55,2.750000,180.000000,3763,CKK257,61212,22,2872.500000,583.500000,0.000000,-2.750000,----,----,----,116,101,78037C,----
MLAT,2019.12.26 17:00:13.798840,2019.12.26 17:00:13.798840,13,17,0,13,37.32477307,126.57579839,952,1137,81.373368,324.503248,2661,THY6442,61213,660,12112.000000,-15279.500000,-47.250000,66.250000,----,----,----,116,101,4BB14E,----
MLAT,2019.12.26 17:00:13.684728,2019.12.26 17:00:13.684728,14,17,0,13,37.46774018,126.47163749,-53,57,2.000000,180.000000,3763,CKK257,61213,22,2872.500000,582.000000,0.000000,-2.000000,----,----,----,116,101,78037C,----
