#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.24 16:00:08.323128,2019.12.24 16:00:08.323128,0,16,0,8,37.45828807,126.43969774,-99,28,0.250000,90.000000,2000,AAR5185,57608,89,47.000000,-467.500000,0.250000,0.000000,----,----,----,116,101,71C361,----
MLAT,2019.12.24 16:00:06.815800,2019.12.24 16:00:06.815800,1,16,0,6,37.47127533,126.45784020,----,----,0.707107,315.000000,4177,SOO7970,57606,367,1652.000000,974.500000,-0.500000,0.500000,----,----,----,116,101,A967C9,----
MLAT,2019.12.24 16:00:05.374008,2019.12.24 16:00:05.374008,2,16,0,5,37.46381879,126.42174840,----,----,1.118034,296.565051,2000,----,57605,532,-1541.000000,146.500000,-1.000000,0.500000,----,----,----,116,101,0,----
MLAT,2019.12.24 16:00:07.798840,2019.12.24 16:00:07.798840,3,16,0,7,37.45664656,126.43710136,-99,112,0.353553,225.000000,2000,HL8265H,57607,1396,-182.500000,-650.000000,-0.250000,-0.250000,----,----,----,116,101,71C265,----
MLAT,2019.12.24 16:00:06.684728,2019.12.24 16:00:06.684728,4,16,0,6,37.45350838,126.45929396,-99,49,1.118034,26.565051,7446,ETD873,57606,1504,1781.000000,-998.000000,0.500000,1.000000,----,----,----,116,101,89649D,----
MLAT,2019.12.24 16:00:06.422584,2019.12.24 16:00:06.422584,5,16,0,6,37.46056259,126.45525992,-99,----,53.680187,325.051700,7411,ETH673,57606,1576,1424.000000,-215.000000,-30.750000,44.000000,----,----,----,116,101,4004A,----
MLAT,2019.12.24 16:00:06.488120,2019.12.24 16:00:06.488120,6,16,0,6,37.44982302,126.44806087,-91,24,0.353553,225.000000,----,MMA802,57606,1647,787.000000,-1407.000000,-0.250000,-0.250000,----,----,----,116,101,704458,----
MLAT,2019.12.24 16:00:08.126520,2019.12.24 16:00:08.126520,7,16,0,8,37.45747268,126.44896209,----,49,0.000000,0.000000,3270,VJC974,57608,1859,866.500000,-557.500000,0.000000,0.000000,----,----,----,116,101,8880F4,----
MLAT,2019.12.24 16:00:09.323128,2019.12.24 16:00:09.323128,8,16,0,9,37.45828807,126.43970847,-99,28,0.500000,90.000000,2000,AAR5185,57609,89,48.000000,-467.500000,0.500000,0.000000,----,----,----,116,101,71C361,----
MLAT,2019.12.24 16:00:08.077944,2019.12.24 16:00:08.077944,9,16,0,8,37.47128606,126.45782411,----,47,0.901388,303.690068,4177,SOO7970,57608,367,1650.500000,975.000000,-0.750000,0.500000,----,----,----,116,101,A967C9,----
MLAT,2019.12.24 16:00:06.374008,2019.12.24 16:00:06.374008,10,16,0,6,37.46387243,126.42160356,----,----,4.808846,297.897271,2000,----,57606,532,-1554.000000,152.500000,-4.250000,2.250000,----,----,----,116,101,0,----
MLAT,2019.12.24 16:00:08.798840,2019.12.24 16:00:08.798840,11,16,0,8,37.45664656,126.43710673,-99,112,0.250000,0.000000,2000,HL8265H,57608,1396,-182.000000,-649.500000,0.000000,0.250000,----,----,----,116,101,71C265,----
MLAT,2019.12.24 16:00:07.684728,2019.12.24 16:00:07.684728,12,16,0,7,37.45349765,126.45929933,-99,49,0.250000,90.000000,7446,ETD873,57607,1504,1781.500000,-998.500000,0.250000,0.000000,----,----,----,116,101,89649D,----
MLAT,2019.12.24 16:00:08.077944,2019.12.24 16:00:08.077944,13,16,0,8,37.46099710,126.45485759,-99,----,58.617937,324.547541,7411,ETH673,57608,1576,1388.500000,-167.000000,-34.000000,47.750000,----,----,----,116,101,4004A,----
MLAT,2019.12.24 16:00:07.225976,2019.12.24 16:00:07.225976,14,16,0,7,37.44982302,126.44806623,-91,----,0.000000,0.000000,----,MMA802,57607,1647,787.500000,-1406.500000,0.000000,0.000000,----,----,----,116,101,704458,----
MLAT,2019.12.24 16:00:09.126520,2019.12.24 16:00:09.126520,15,16,0,9,37.45747268,126.44896209,----,47,0.000000,0.000000,3270,VJC974,57609,1859,866.500000,-557.500000,0.000000,0.000000,----,----,----,116,101,8880F4,----
MLAT,2019.12.24 16:00:10.323128,2019.12.24 16:00:10.323128,16,16,0,10,37.45828807,126.43971384,-99,28,0.500000,90.000000,2000,AAR5185,57610,89,48.000000,-467.500000,0.500000,0.000000,----,----,----,116,101,71C361,----
MLAT,2019.12.24 16:00:08.815800,2019.12.24 16:00:08.815800,17,16,0,8,37.47129679,126.45781875,----,----,0.559017,333.434949,4177,SOO7970,57608,367,1650.000000,976.500000,-0.250000,0.500000,----,----,----,116,101,A967C9,----
MLAT,2019.12.24 16:00:07.374008,2019.12.24 16:00:07.374008,18,16,0,7,37.46389925,126.42158210,----,----,4.609772,310.601295,2000,----,57607,532,-1555.500000,155.000000,-3.500000,3.000000,----,----,----,116,101,0,----
MLAT,2019.12.24 16:00:09.798840,2019.12.24 16:00:09.798840,19,16,0,9,37.45664656,126.43710673,-99,112,0.000000,0.000000,2000,HL8265H,57609,1396,-182.500000,-650.000000,0.000000,0.000000,----,----,----,116,101,71C265,----
MLAT,2019.12.24 16:00:08.684728,2019.12.24 16:00:08.684728,20,16,0,8,37.45350301,126.45931542,-99,47,0.559017,63.434949,7446,ETD873,57608,1504,1782.500000,-998.000000,0.500000,0.250000,----,----,----,116,101,89649D,----
MLAT,2019.12.24 16:00:09.012408,2019.12.24 16:00:09.012408,21,16,0,9,37.46141553,126.45449281,-99,----,58.186124,325.149152,7411,ETH673,57609,1576,1356.000000,-120.000000,-33.250000,47.750000,----,----,----,116,101,4004A,----
MLAT,2019.12.24 16:00:08.291512,2019.12.24 16:00:08.291512,22,16,0,8,37.44982302,126.44806087,----,26,0.000000,0.000000,----,MMA802,57608,1647,787.000000,-1407.000000,0.000000,0.000000,----,----,----,116,101,704458,----
MLAT,2019.12.24 16:00:10.126520,2019.12.24 16:00:10.126520,23,16,0,10,37.45747805,126.44896209,----,49,0.000000,0.000000,3270,VJC974,57610,1859,866.500000,-557.500000,0.000000,0.000000,----,----,----,116,101,8880F4,----
MLAT,2019.12.24 16:00:11.323128,2019.12.24 16:00:11.323128,24,16,0,11,37.45828807,126.43969774,-99,28,0.000000,0.000000,2000,AAR5185,57611,89,47.000000,-467.500000,0.000000,0.000000,----,----,----,116,101,71C361,----
MLAT,2019.12.24 16:00:09.225976,2019.12.24 16:00:09.225976,25,16,0,9,37.47129142,126.45781338,----,----,0.000000,0.000000,4177,SOO7970,57609,367,1649.500000,976.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.24 16:00:08.636152,2019.12.24 16:00:08.636152,26,16,0,8,37.46388316,126.42158747,----,365,2.236068,296.565051,2000,----,57608,532,-1555.000000,154.000000,-2.000000,1.000000,----,----,----,116,101,0,----
MLAT,2019.12.24 16:00:10.798840,2019.12.24 16:00:10.798840,27,16,0,10,37.45663047,126.43712282,-99,114,0.559017,153.434949,2000,HL8265H,57610,1396,-181.000000,-651.500000,0.250000,-0.500000,----,----,----,116,101,71C265,----
MLAT,2019.12.24 16:00:09.684728,2019.12.24 16:00:09.684728,28,16,0,9,37.45351911,126.45933151,-99,45,1.250000,53.130102,7446,ETD873,57609,1504,1784.000000,-997.000000,1.000000,0.750000,----,----,----,116,101,89649D,----
MLAT,2019.12.24 16:00:10.012408,2019.12.24 16:00:10.012408,29,16,0,10,37.46183932,126.45410120,-99,----,59.518905,324.574228,7411,ETH673,57610,1576,1321.500000,-73.000000,-34.500000,48.500000,----,----,----,116,101,4004A,----
MLAT,2019.12.24 16:00:09.029368,2019.12.24 16:00:09.029368,30,16,0,9,37.44982839,126.44807160,----,----,0.000000,0.000000,----,MMA802,57609,1647,787.500000,-1406.500000,0.000000,0.000000,----,----,----,116,101,704458,----
