#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.21 17:00:07.798840,2019.12.21 17:00:07.798840,0,17,0,7,37.45667338,126.44872069,-83,41,0.901388,123.690068,7117,CEB187,61207,258,845.500000,-646.500000,0.750000,-0.500000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:06.684728,2019.12.21 17:00:06.684728,1,17,0,6,37.46188223,126.44605458,-83,85,1.118034,296.565051,2000,TEST,61206,1249,609.500000,-68.500000,-1.000000,0.500000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:07.798840,2019.12.21 17:00:07.798840,2,17,0,7,37.41434813,126.50204837,243,365,72.400363,325.267308,1314,SOO7950,61207,1362,5567.000000,-5342.500000,-41.250000,59.500000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:06.684728,2019.12.21 17:00:06.684728,3,17,0,6,37.45542884,126.45979822,-76,72,19.764235,325.304846,4115,VJC839,61206,1729,1825.500000,-785.000000,-11.250000,16.250000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:08.798840,2019.12.21 17:00:08.798840,4,17,0,8,37.45665729,126.44871533,-83,40,0.750000,180.000000,7117,CEB187,61208,258,845.000000,-648.500000,0.000000,-0.750000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:07.684728,2019.12.21 17:00:07.684728,5,17,0,7,37.46187687,126.44604921,-83,83,0.500000,270.000000,2000,TEST,61207,1249,608.500000,-69.000000,-0.500000,-0.000000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:08.798840,2019.12.21 17:00:08.798840,6,17,0,8,37.41483629,126.50167823,236,365,69.968296,327.104868,1314,SOO7950,61208,1362,5534.500000,-5288.500000,-38.000000,58.750000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:07.684728,2019.12.21 17:00:07.684728,7,17,0,7,37.45557368,126.45963728,-76,74,21.050534,322.721826,4115,VJC839,61207,1729,1811.500000,-769.000000,-12.750000,16.750000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:09.798840,2019.12.21 17:00:09.798840,8,17,0,9,37.45663583,126.44873142,-83,34,1.677051,153.434949,7117,CEB187,61209,258,846.500000,-650.500000,0.750000,-1.500000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:08.684728,2019.12.21 17:00:08.684728,9,17,0,8,37.46188223,126.44604385,-83,83,0.559017,296.565051,2000,TEST,61208,1249,608.500000,-68.500000,-0.500000,0.250000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:09.798840,2019.12.21 17:00:09.798840,10,17,0,9,37.41531372,126.50125444,236,365,68.305380,325.437475,1314,SOO7950,61209,1362,5496.500000,-5235.500000,-38.750000,56.250000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:08.684728,2019.12.21 17:00:08.684728,11,17,0,8,37.45575607,126.45948172,-76,76,23.656394,324.462322,4115,VJC839,61208,1729,1797.500000,-748.000000,-13.750000,19.250000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:10.798840,2019.12.21 17:00:10.798840,12,17,0,10,37.45661438,126.44875288,-83,40,1.952562,129.805571,7117,CEB187,61210,258,848.500000,-653.000000,1.500000,-1.250000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:09.422584,2019.12.21 17:00:09.422584,13,17,0,9,37.46187687,126.44606531,-83,----,0.559017,296.565051,2000,TEST,61209,1249,610.500000,-69.000000,-0.500000,0.250000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:10.798840,2019.12.21 17:00:10.798840,14,17,0,10,37.41589844,126.50070190,228,348,71.317950,324.415626,1314,SOO7950,61210,1362,5448.000000,-5171.000000,-41.500000,58.000000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:09.422584,2019.12.21 17:00:09.422584,15,17,0,9,37.45596528,126.45931005,-76,----,25.109759,324.727579,4115,VJC839,61209,1729,1782.500000,-725.500000,-14.500000,20.500000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:11.536696,2019.12.21 17:00:11.536696,16,17,0,11,37.45659292,126.44875824,-83,----,1.118034,153.434949,7117,CEB187,61211,258,849.000000,-655.500000,0.500000,-1.000000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:10.684728,2019.12.21 17:00:10.684728,17,17,0,10,37.46186614,126.44606531,-83,81,0.559017,206.565051,2000,TEST,61210,1249,610.500000,-70.500000,-0.250000,-0.500000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:11.798840,2019.12.21 17:00:11.798840,18,17,0,11,37.41649926,126.50016546,228,340,76.005345,325.316766,1314,SOO7950,61211,1362,5400.000000,-5104.000000,-43.250000,62.500000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:10.684728,2019.12.21 17:00:10.684728,19,17,0,10,37.45617449,126.45912766,-68,85,27.875841,325.597335,4115,VJC839,61210,1729,1766.000000,-701.500000,-15.750000,23.000000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:12.536696,2019.12.21 17:00:12.536696,20,17,0,12,37.45659292,126.44875288,-83,----,0.750000,180.000000,7117,CEB187,61212,258,848.500000,-656.000000,0.000000,-0.750000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:11.684728,2019.12.21 17:00:11.684728,21,17,0,11,37.46187150,126.44605994,-83,81,0.707107,315.000000,2000,TEST,61211,1249,610.000000,-69.500000,-0.500000,0.500000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:12.798840,2019.12.21 17:00:12.798840,22,17,0,12,37.41700888,126.49974704,220,329,73.290944,325.984700,1314,SOO7950,61212,1362,5363.000000,-5047.500000,-41.000000,60.750000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:11.684728,2019.12.21 17:00:11.684728,23,17,0,11,37.45644271,126.45890772,-76,83,32.596012,327.528808,4115,VJC839,61211,1729,1747.000000,-672.000000,-17.500000,27.500000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:13.798840,2019.12.21 17:00:13.798840,24,17,0,13,37.45658755,126.44873142,-83,41,0.901388,236.309932,7117,CEB187,61213,258,846.000000,-656.500000,-0.750000,-0.500000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:12.684728,2019.12.21 17:00:12.684728,25,17,0,12,37.46187687,126.44606531,-83,81,0.250000,0.000000,2000,TEST,61212,1249,610.000000,-69.000000,0.000000,0.250000,----,----,----,116,101,71C078,----
MLAT,2019.12.21 17:00:13.798840,2019.12.21 17:00:13.798840,26,17,0,13,37.41752923,126.49924815,220,320,71.904450,323.767581,1314,SOO7950,61213,1362,5318.500000,-4989.500000,-42.500000,58.000000,----,----,----,116,101,A98C7A,----
MLAT,2019.12.21 17:00:12.684728,2019.12.21 17:00:12.684728,27,17,0,12,37.45668948,126.45866096,-76,80,33.900590,322.792078,4115,VJC839,61212,1729,1725.000000,-644.500000,-20.500000,27.000000,----,----,----,116,101,888156,----
MLAT,2019.12.21 17:00:14.798840,2019.12.21 17:00:14.798840,28,17,0,14,37.45657682,126.44873679,-83,41,0.500000,180.000000,7117,CEB187,61214,258,846.500000,-657.500000,0.000000,-0.500000,----,----,----,116,101,758433,----
MLAT,2019.12.21 17:00:13.684728,2019.12.21 17:00:13.684728,29,17,0,13,37.46188760,126.44604921,-83,81,0.901388,303.690068,2000,TEST,61213,1249,608.500000,-68.000000,-0.750000,0.500000,----,----,----,116,101,71C078,----
