#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.23 16:00:06.684728,2019.12.23 16:00:06.684728,0,16,0,6,37.45217264,126.45889699,-106,72,0.000000,0.000000,2000,ETD873,57606,474,1746.000000,-1146.000000,0.000000,0.000000,----,----,----,116,101,89649E,----
MLAT,2019.12.23 16:00:06.029368,2019.12.23 16:00:06.029368,1,16,0,6,37.46632397,126.45583928,----,----,5.202163,144.782407,----,CIVIL5,57606,614,1475.000000,424.500000,3.000000,-4.250000,----,----,----,116,101,71D028,----
MLAT,2019.12.23 16:00:05.767224,2019.12.23 16:00:05.767224,2,16,0,5,37.48191833,126.42704308,----,607,1.274755,191.309932,2000,----,57605,1270,-1072.500000,2155.500000,-0.250000,-1.250000,----,----,----,116,101,0,----
MLAT,2019.12.23 16:00:07.274552,2019.12.23 16:00:07.274552,3,16,0,7,37.45718837,126.45155311,-99,57,1.802776,146.309932,4164,APG889,57607,1844,1096.000000,-589.500000,1.000000,-1.500000,----,----,----,116,101,758538,----
MLAT,2019.12.23 16:00:07.684728,2019.12.23 16:00:07.684728,4,16,0,7,37.45217800,126.45890772,-106,74,0.353553,45.000000,2000,ETD873,57607,474,1746.500000,-1145.500000,0.250000,0.250000,----,----,----,116,101,89649E,----
MLAT,2019.12.23 16:00:07.029368,2019.12.23 16:00:07.029368,5,16,0,7,37.46628642,126.45586610,----,----,5.273756,148.570434,----,CIVIL5,57607,614,1477.000000,420.000000,2.750000,-4.500000,----,----,----,116,101,71D028,----
MLAT,2019.12.23 16:00:06.767224,2019.12.23 16:00:06.767224,6,16,0,6,37.48193443,126.42704308,----,613,0.790569,18.434949,2000,----,57606,1270,-1072.000000,2157.000000,0.250000,0.750000,----,----,----,116,101,0,----
MLAT,2019.12.23 16:00:08.274552,2019.12.23 16:00:08.274552,7,16,0,8,37.45716691,126.45156384,-99,55,2.236068,153.434949,4164,APG889,57608,1844,1097.000000,-592.000000,1.000000,-2.000000,----,----,----,116,101,758538,----
MLAT,2019.12.23 16:00:08.684728,2019.12.23 16:00:08.684728,8,16,0,8,37.45217264,126.45889699,-106,74,0.250000,270.000000,2000,ETD873,57608,474,1745.500000,-1146.000000,-0.250000,-0.000000,----,----,----,116,101,89649E,----
MLAT,2019.12.23 16:00:08.029368,2019.12.23 16:00:08.029368,9,16,0,8,37.46624351,126.45589828,----,----,5.202163,144.782407,----,CIVIL5,57608,614,1480.500000,416.000000,3.000000,-4.250000,----,----,----,116,101,71D028,----
MLAT,2019.12.23 16:00:07.767224,2019.12.23 16:00:07.767224,10,16,0,7,37.48193443,126.42705381,----,624,0.707107,45.000000,2000,----,57607,1270,-1071.500000,2157.500000,0.500000,0.500000,----,----,----,116,101,0,----
MLAT,2019.12.23 16:00:09.274552,2019.12.23 16:00:09.274552,11,16,0,9,37.45713472,126.45158529,-99,51,1.457738,149.036243,4164,APG889,57609,1844,1098.500000,-595.500000,0.750000,-1.250000,----,----,----,116,101,758538,----
MLAT,2019.12.23 16:00:09.684728,2019.12.23 16:00:09.684728,12,16,0,9,37.45217264,126.45889163,-106,74,0.250000,270.000000,2000,ETD873,57609,474,1745.500000,-1146.000000,-0.250000,-0.000000,----,----,----,116,101,89649E,----
MLAT,2019.12.23 16:00:09.029368,2019.12.23 16:00:09.029368,13,16,0,9,37.46620059,126.45593047,----,----,5.408327,146.309932,----,CIVIL5,57609,614,1483.000000,411.000000,3.000000,-4.500000,----,----,----,116,101,71D028,----
MLAT,2019.12.23 16:00:08.767224,2019.12.23 16:00:08.767224,14,16,0,8,37.48192370,126.42705917,----,632,1.250000,143.130102,2000,----,57608,1270,-1071.000000,2156.000000,0.750000,-1.000000,----,----,----,116,101,0,----
