#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.26 16:00:06.684728,2019.12.26 16:00:06.684728,0,16,0,6,37.45032728,126.44746542,-53,60,0.250000,180.000000,2000,MMA802,57606,628,734.500000,-1350.500000,0.000000,-0.250000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:07.077944,2019.12.26 16:00:07.077944,1,16,0,7,37.47115731,126.45810306,----,116,0.000000,0.000000,0000,SOO7970,57607,702,1675.000000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:05.963832,2019.12.26 16:00:05.963832,2,16,0,5,37.45414674,126.44867778,----,53,3.400368,252.897271,2000,----,57605,814,841.500000,-927.000000,-3.250000,-1.000000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:06.684728,2019.12.26 16:00:06.684728,3,16,0,6,37.45394826,126.45692289,-53,38,4.716991,147.994617,7430,KLM856,57606,1645,1571.500000,-949.000000,2.500000,-4.000000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:07.536696,2019.12.26 16:00:07.536696,4,16,0,7,37.45735466,126.46614432,-53,----,2.121320,225.000000,4307,AZG613,57607,1729,2387.000000,-570.500000,-1.500000,-1.500000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:07.684728,2019.12.26 16:00:07.684728,5,16,0,7,37.45032728,126.44746542,-53,60,0.250000,180.000000,2000,MMA802,57607,628,734.500000,-1351.000000,0.000000,-0.250000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:07.815800,2019.12.26 16:00:07.815800,6,16,0,7,37.47115731,126.45809233,----,----,0.000000,0.000000,0000,SOO7970,57607,702,1674.500000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:06.701688,2019.12.26 16:00:06.701688,7,16,0,6,37.45410919,126.44863486,----,----,3.605551,236.309932,2000,----,57606,814,838.000000,-931.000000,-3.000000,-2.000000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:07.422584,2019.12.26 16:00:07.422584,8,16,0,7,37.45389462,126.45696044,-53,----,4.854122,145.491477,7430,KLM856,57607,1645,1574.500000,-955.000000,2.750000,-4.000000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:08.536696,2019.12.26 16:00:08.536696,9,16,0,8,37.45731711,126.46609068,-53,----,3.535534,225.000000,4307,AZG613,57608,1729,2382.500000,-575.000000,-2.500000,-2.500000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:08.684728,2019.12.26 16:00:08.684728,10,16,0,8,37.45032191,126.44746542,-53,60,0.250000,180.000000,2000,MMA802,57608,628,734.000000,-1351.500000,0.000000,-0.250000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:08.815800,2019.12.26 16:00:08.815800,11,16,0,8,37.47115731,126.45809233,----,----,0.000000,0.000000,0000,SOO7970,57608,702,1674.000000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:07.963832,2019.12.26 16:00:07.963832,12,16,0,7,37.45408773,126.44858658,----,57,3.605551,236.309932,2000,----,57607,814,833.500000,-934.000000,-3.000000,-2.000000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:08.684728,2019.12.26 16:00:08.684728,13,16,0,8,37.45385706,126.45699263,-53,32,3.952847,145.304846,7430,KLM856,57608,1645,1577.500000,-959.000000,2.250000,-3.250000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:09.798840,2019.12.26 16:00:09.798840,14,16,0,9,37.45730102,126.46602631,-53,66,4.366062,246.370622,4307,AZG613,57609,1729,2376.500000,-577.000000,-4.000000,-1.750000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:09.684728,2019.12.26 16:00:09.684728,15,16,0,9,37.45034337,126.44748151,-53,62,0.000000,0.000000,2000,MMA802,57609,628,736.000000,-1349.500000,0.000000,0.000000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:09.815800,2019.12.26 16:00:09.815800,16,16,0,9,37.47115731,126.45808697,----,----,0.000000,0.000000,0000,SOO7970,57609,702,1674.000000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:08.963832,2019.12.26 16:00:08.963832,17,16,0,8,37.45405555,126.44855976,----,55,3.535534,225.000000,2000,----,57608,814,831.000000,-937.000000,-2.500000,-2.500000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:10.012408,2019.12.26 16:00:10.012408,18,16,0,10,37.45381951,126.45704091,-53,----,3.605551,146.309932,7430,KLM856,57610,1645,1581.500000,-963.000000,2.000000,-3.000000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:10.798840,2019.12.26 16:00:10.798840,19,16,0,10,37.45727956,126.46600485,-53,66,2.850439,232.125016,4307,AZG613,57610,1729,2374.500000,-579.500000,-2.250000,-1.750000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:10.684728,2019.12.26 16:00:10.684728,20,16,0,10,37.45036483,126.44750297,-53,66,0.353553,45.000000,2000,MMA802,57610,628,737.500000,-1347.000000,0.250000,0.250000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:10.815800,2019.12.26 16:00:10.815800,21,16,0,10,37.47115731,126.45808697,----,----,0.000000,0.000000,0000,SOO7970,57610,702,1673.500000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:09.701688,2019.12.26 16:00:09.701688,22,16,0,9,37.45404482,126.44852221,----,----,2.474874,225.000000,2000,----,57609,814,827.500000,-938.500000,-1.750000,-1.750000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:11.274552,2019.12.26 16:00:11.274552,23,16,0,11,37.45379269,126.45706773,-53,32,3.201562,141.340192,7430,KLM856,57611,1645,1584.000000,-966.000000,2.000000,-2.500000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:11.536696,2019.12.26 16:00:11.536696,24,16,0,11,37.45724201,126.46595120,-53,----,3.363406,228.012788,4307,AZG613,57611,1729,2370.000000,-583.000000,-2.500000,-2.250000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:11.684728,2019.12.26 16:00:11.684728,25,16,0,11,37.45034873,126.44747615,-53,62,0.250000,270.000000,2000,MMA802,57611,628,735.000000,-1348.500000,-0.250000,-0.000000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:11.815800,2019.12.26 16:00:11.815800,26,16,0,11,37.47115731,126.45808697,----,----,0.000000,0.000000,0000,SOO7970,57611,702,1673.500000,961.000000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:10.701688,2019.12.26 16:00:10.701688,27,16,0,10,37.45401800,126.44848466,----,----,3.363406,221.987212,2000,----,57610,814,824.500000,-941.000000,-2.250000,-2.500000,----,----,----,116,101,7585D0,----
MLAT,2019.12.26 16:00:12.274552,2019.12.26 16:00:12.274552,28,16,0,12,37.45374978,126.45713210,-53,36,4.776243,132.878904,7430,KLM856,57612,1645,1589.500000,-971.000000,3.500000,-3.250000,----,----,----,116,101,48436D,----
MLAT,2019.12.26 16:00:12.798840,2019.12.26 16:00:12.798840,29,16,0,12,37.45722592,126.46591365,-53,64,3.605551,236.309932,4307,AZG613,57612,1729,2366.500000,-585.000000,-3.000000,-2.000000,----,----,----,116,101,4243C3,----
MLAT,2019.12.26 16:00:12.684728,2019.12.26 16:00:12.684728,30,16,0,12,37.45034873,126.44747078,-53,64,0.250000,270.000000,2000,MMA802,57612,628,735.000000,-1348.500000,-0.250000,-0.000000,----,----,----,116,101,704458,----
MLAT,2019.12.26 16:00:12.815800,2019.12.26 16:00:12.815800,31,16,0,12,37.47115731,126.45808697,----,----,0.000000,0.000000,0000,SOO7970,57612,702,1673.500000,961.500000,0.000000,0.000000,----,----,----,116,101,A967C9,----
MLAT,2019.12.26 16:00:11.963832,2019.12.26 16:00:11.963832,32,16,0,11,37.45399654,126.44845247,----,60,3.363406,228.012788,2000,----,57611,814,821.500000,-943.500000,-2.500000,-2.250000,----,----,----,116,101,7585D0,----
