,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign,ops,dir,rwy,dist,ac,rot1,rot2
934,MLAT,2019-12-21 15:39:12.323128,2019.12.21 15:39:12.323128,48022,15,39,12,37.47486949,126.44246578,-83.0,139,90.357969,323.891042,7445,PAC717,56352,363,292.0,1373.0,-53.25,73.0,----,----,----,116,101,A55E46,----,departure,north,33L,2811.4,A,2019-12-21 15:37:06.798840,2019-12-21 15:39:21.536696
1302,MLAT,2019-12-21 15:22:21.274552,2019.12.21 15:22:21.274552,28269,15,22,21,37.46399581,126.45213246,-83.0,102,78.050064,323.203511,7405,SBI6276,55341,1282,1147.5,166.5,-46.75,62.5,----,----,----,116,101,42448A,----,departure,north,33L,1331.6,C,2019-12-21 15:21:12.012408,2019-12-21 15:22:51.323128
266,MLAT,2019-12-21 15:11:54.798840,2019.12.21 15:11:54.798840,14222,15,11,54,37.47105002,126.44585609,-83.0,110,87.12778,324.57699,7452,SHU5751,54714,1767,592.0,949.0,-50.5,71.0,----,----,----,116,101,400166,----,departure,north,33L,2291.9,C,2019-12-21 15:10:21.422584,2019-12-21 15:12:10.798840
31,MLAT,2019-12-21 15:00:37.684728,2019.12.21 15:00:37.684728,715,15,0,37,37.47615695,126.44136071,-76.0,133,95.692215,325.645663,7101,SIA603,54037,995,194.0,1515.5,-54.0,79.0,----,----,----,116,101,76CC66,----,departure,north,33L,2984.6,A,2019-12-21 15:00:06.422584,2019-12-21 15:00:46.536696
866,MLAT,2019-12-21 15:52:59.012408,2019.12.21 15:52:59.012408,59975,15,52,59,37.47424185,126.44303977,-83.0,----,90.762396,324.077054,4142,TAX703,57179,1052,343.0,1303.0,-53.25,73.5,----,----,----,116,101,886283,----,departure,north,33L,2725.2000000000003,A,2019-12-21 15:51:43.684728,2019-12-21 15:53:10.536696
854,MLAT,2019-12-21 15:32:53.684728,2019.12.21 15:32:53.684728,41121,15,32,53,37.46827662,126.44840419,-83.0,112,80.617926,324.338395,7413,TWB613,55973,933,817.0,641.5,-47.0,65.5,----,----,----,116,101,71C024,----,departure,north,33L,1910.3000000000002,C,2019-12-21 15:31:33.684728,2019-12-21 15:33:17.060984
92,MLAT,2019-12-21 15:45:17.274552,2019.12.21 15:45:17.274552,54030,15,45,17,37.47614622,126.44136071,-83.0,131,89.589341,325.689105,7401,UAE323,56717,77,194.5,1514.5,-50.5,74.0,----,----,----,116,101,896189,----,departure,north,33L,2983.6,NOWGT,2019-12-21 15:43:19.274552,2019-12-21 15:45:26.798840
803,MLAT,2019-12-21 15:24:16.012408,2019.12.21 15:24:16.012408,30771,15,24,16,37.4738878,126.44332945,-83.0,----,91.428934,324.571596,7107,XAX509,55456,802,368.0,1264.0,-53.0,74.5,----,----,----,116,101,7503E0,----,departure,north,33L,2678.3,A,2019-12-21 15:22:33.684728,2019-12-21 15:24:29.323128
739,MLAT,2019-12-21 16:12:29.684728,2019.12.21 16:12:29.684728,5080,16,12,29,37.47154891,126.44548595,-83.0,108,87.801267,325.08817,4124,AAR987,58349,237,559.0,1004.5,-50.25,72.0,----,----,----,116,101,71BC23,----,departure,north,33L,2356.0,A,2019-12-21 16:11:13.422584,2019-12-21 16:12:46.798840
702,MLAT,2019-12-21 17:11:40.536696,2019.12.21 17:11:40.536696,2357,17,11,40,37.47423112,126.44305587,-83.0,----,89.715174,324.183919,7117,CEB187,61900,258,344.0,1302.0,-52.5,72.75,----,----,----,116,101,758433,----,departure,north,33L,2723.3999999999996,A,2019-12-21 17:10:29.422584,2019-12-21 17:11:51.798840
759,MLAT,2019-12-21 16:44:20.684728,2019.12.21 16:44:20.684728,15270,16,44,20,37.46920466,126.44752979,-76.0,125,87.418534,324.30994,7111,KAL335,60260,676,740.0,744.0,-51.0,71.0,----,----,----,116,101,71BE03,----,departure,north,33L,2039.1,A,2019-12-21 16:43:18.422584,2019-12-21 16:44:41.323128
