#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
MLAT,2019.12.25 16:00:06.422584,2019.12.25 16:00:06.422584,0,16,0,6,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57606,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:07.274552,2019.12.25 16:00:07.274552,1,16,0,7,37.46849656,126.46682024,-45,62,0.500000,180.000000,0000,FDX5924,57607,139,2446.500000,666.000000,0.000000,-0.500000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:06.488120,2019.12.25 16:00:06.488120,2,16,0,6,37.46640980,126.43722475,----,1,0.000000,0.000000,7440,KLM856,57606,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:07.798840,2019.12.25 16:00:07.798840,3,16,0,7,37.40267515,126.51259482,373,485,89.074758,324.481016,0074,GEC8390,57607,1115,6502.000000,-6637.500000,-51.750000,72.500000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:06.684728,2019.12.25 16:00:06.684728,4,16,0,6,37.45199025,126.44494414,-45,97,5.000000,53.130102,7414,KZR960,57606,1417,511.000000,-1166.500000,4.000000,3.000000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:07.422584,2019.12.25 16:00:07.422584,5,16,0,7,37.47186005,126.45942271,-45,----,0.000000,0.000000,2000,PAC238A,57607,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:08.012408,2019.12.25 16:00:08.012408,6,16,0,8,37.46852338,126.46683097,-45,----,0.000000,0.000000,0000,FDX5924,57608,139,2447.000000,669.000000,0.000000,0.000000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:07.488120,2019.12.25 16:00:07.488120,7,16,0,7,37.46640980,126.43722475,----,1,0.000000,0.000000,7440,KLM856,57607,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:08.798840,2019.12.25 16:00:08.798840,8,16,0,8,37.40334034,126.51198328,358,449,90.762396,324.077054,0074,GEC8390,57608,1115,6447.500000,-6564.000000,-53.250000,73.500000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:07.684728,2019.12.25 16:00:07.684728,9,16,0,7,37.45205462,126.44500315,-45,93,6.363961,45.000000,7414,KZR960,57607,1417,516.500000,-1159.500000,4.500000,4.500000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:08.422584,2019.12.25 16:00:08.422584,10,16,0,8,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57608,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:09.274552,2019.12.25 16:00:09.274552,11,16,0,9,37.46850729,126.46682560,-45,62,0.000000,0.000000,0000,FDX5924,57609,139,2447.000000,667.000000,0.000000,0.000000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:08.488120,2019.12.25 16:00:08.488120,12,16,0,8,37.46640980,126.43722475,----,1,0.000000,0.000000,7440,KLM856,57608,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:09.798840,2019.12.25 16:00:09.798840,13,16,0,9,37.40401089,126.51137710,358,424,90.121099,324.369940,0074,GEC8390,57609,1115,6393.500000,-6489.500000,-52.500000,73.250000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:08.684728,2019.12.25 16:00:08.684728,14,16,0,8,37.45208144,126.44507289,-45,95,5.700877,52.125016,7414,KZR960,57608,1417,522.500000,-1156.500000,4.500000,3.500000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:09.422584,2019.12.25 16:00:09.422584,15,16,0,9,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57609,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:10.274552,2019.12.25 16:00:10.274552,16,16,0,10,37.46850729,126.46682560,-45,62,0.250000,180.000000,0000,FDX5924,57610,139,2447.000000,667.000000,0.000000,-0.250000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:09.488120,2019.12.25 16:00:09.488120,17,16,0,9,37.46640980,126.43723011,----,1,0.000000,0.000000,7440,KLM856,57609,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:10.798840,2019.12.25 16:00:10.798840,18,16,0,10,37.40464389,126.51084065,350,422,88.702452,325.100584,0074,GEC8390,57610,1115,6346.000000,-6419.500000,-50.750000,72.750000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:09.684728,2019.12.25 16:00:09.684728,19,16,0,9,37.45211363,126.44514263,-45,97,5.408327,56.309932,7414,KZR960,57609,1417,528.500000,-1153.000000,4.500000,3.000000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:10.422584,2019.12.25 16:00:10.422584,20,16,0,10,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57610,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:11.274552,2019.12.25 16:00:11.274552,21,16,0,11,37.46851802,126.46683097,-45,62,0.250000,90.000000,0000,FDX5924,57611,139,2447.500000,668.000000,0.250000,0.000000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:10.488120,2019.12.25 16:00:10.488120,22,16,0,10,37.46640980,126.43723011,----,1,0.000000,0.000000,7440,KLM856,57610,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:11.798840,2019.12.25 16:00:11.798840,23,16,0,11,37.40524471,126.51028812,342,411,86.924177,324.481478,0074,GEC8390,57611,1115,6297.500000,-6352.500000,-50.500000,70.750000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:10.422584,2019.12.25 16:00:10.422584,24,16,0,10,37.45215118,126.44519627,-45,----,5.550901,54.162347,7414,KZR960,57610,1417,533.500000,-1149.000000,4.500000,3.250000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:11.422584,2019.12.25 16:00:11.422584,25,16,0,11,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57611,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:11.684728,2019.12.25 16:00:11.684728,26,16,0,11,37.46852338,126.46683633,-45,62,0.353553,45.000000,0000,FDX5924,57611,139,2448.000000,668.500000,0.250000,0.250000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:11.488120,2019.12.25 16:00:11.488120,27,16,0,11,37.46640980,126.43723011,----,1,0.000000,0.000000,7440,KLM856,57611,652,-171.500000,433.500000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:12.798840,2019.12.25 16:00:12.798840,28,16,0,12,37.40585089,126.50971413,342,388,85.050720,323.365886,0074,GEC8390,57612,1115,6246.500000,-6285.500000,-50.750000,68.250000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:11.684728,2019.12.25 16:00:11.684728,29,16,0,11,37.45218873,126.44526601,-45,83,5.000000,53.130102,7414,KZR960,57611,1417,539.500000,-1144.500000,4.000000,3.000000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:12.422584,2019.12.25 16:00:12.422584,30,16,0,12,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57612,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:12.684728,2019.12.25 16:00:12.684728,31,16,0,12,37.46851265,126.46683097,-45,62,0.000000,0.000000,0000,FDX5924,57612,139,2447.500000,667.500000,0.000000,0.000000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:12.488120,2019.12.25 16:00:12.488120,32,16,0,12,37.46640980,126.43723011,----,1,0.000000,0.000000,7440,KLM856,57612,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:13.798840,2019.12.25 16:00:13.798840,33,16,0,13,37.40641415,126.50922060,335,365,82.394250,325.007980,0074,GEC8390,57613,1115,6203.000000,-6222.500000,-47.250000,67.500000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:12.422584,2019.12.25 16:00:12.422584,34,16,0,12,37.45223165,126.44531429,-45,----,5.153882,50.906141,7414,KZR960,57612,1417,544.000000,-1140.000000,4.000000,3.250000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:13.422584,2019.12.25 16:00:13.422584,35,16,0,13,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57613,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:13.488120,2019.12.25 16:00:13.488120,36,16,0,13,37.46850193,126.46683097,----,62,0.250000,180.000000,0000,FDX5924,57613,139,2447.500000,666.500000,0.000000,-0.250000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:13.488120,2019.12.25 16:00:13.488120,37,16,0,13,37.46640980,126.43723011,----,0,0.000000,0.000000,7440,KLM856,57613,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:14.798840,2019.12.25 16:00:14.798840,38,16,0,14,37.40713298,126.50858760,335,398,87.168300,325.398382,0074,GEC8390,57614,1115,6146.500000,-6143.000000,-49.500000,71.750000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:14.274552,2019.12.25 16:00:14.274552,39,16,0,14,37.45226920,126.44537330,-45,81,5.000000,53.130102,7414,KZR960,57614,1417,549.500000,-1135.500000,4.000000,3.000000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:14.422584,2019.12.25 16:00:14.422584,40,16,0,14,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57614,3,1791.500000,1039.500000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:14.488120,2019.12.25 16:00:14.488120,41,16,0,14,37.46850193,126.46683097,----,62,0.250000,180.000000,0000,FDX5924,57614,139,2447.500000,666.500000,0.000000,-0.250000,----,----,----,116,101,A7FE1C,----
MLAT,2019.12.25 16:00:14.488120,2019.12.25 16:00:14.488120,42,16,0,14,37.46640980,126.43723011,----,0,0.000000,0.000000,7440,KLM856,57614,652,-171.500000,434.000000,0.000000,0.000000,----,----,----,116,101,48436F,----
MLAT,2019.12.25 16:00:15.798840,2019.12.25 16:00:15.798840,43,16,0,15,37.40781963,126.50793850,327,377,88.800690,323.355929,0074,GEC8390,57615,1115,6089.000000,-6066.500000,-53.000000,71.250000,----,----,----,116,101,3C7063,----
MLAT,2019.12.25 16:00:15.274552,2019.12.25 16:00:15.274552,44,16,0,15,37.45230675,126.44544303,-45,81,6.103278,55.007980,7414,KZR960,57615,1417,555.500000,-1131.000000,5.000000,3.500000,----,----,----,116,101,484354,----
MLAT,2019.12.25 16:00:15.422584,2019.12.25 16:00:15.422584,45,16,0,15,37.47186005,126.45941734,-45,----,0.000000,0.000000,2000,PAC238A,57615,3,1791.500000,1039.000000,0.000000,0.000000,----,----,----,116,101,ABC5B8,----
MLAT,2019.12.25 16:00:15.488120,2019.12.25 16:00:15.488120,46,16,0,15,37.46851265,126.46683097,----,62,0.000000,0.000000,0000,FDX5924,57615,139,2447.500000,668.000000,0.000000,0.000000,----,----,----,116,101,A7FE1C,----
